1-0091,1,R
1-0092,1,R
1-0093,1,R
1-0097,1,R
1-0101,1,R
1-0102,1,R
1-0103,1,R
1-0106,1,R
1-0107,1,R
1-0108,1,R
1-0109,1,R
1-0110,1,R
1-0111,1,R
1-0112,1,R
1-0113,1,S
1-0114,1,S
1-0115,1,S
1-0116,1,S
1-0123,1,S
1-0124,1,S
1-0125,1,S
1-0127,1,S
1-0132,1,S
1-0133,1,S
1-0135,1,S
1-0137,1,S
1-0138,1,S
1-0142,1,S
1-0143,1,S
1-0144,1,R
1-0146,1,S
1-0148,1,R
1-0149,1,S
1-0150,1,R
1-0153,1,S
1-0154,1,S
1-0156,1,S
1-0158,1,S
1-0160,1,S
1-0163,1,S
1-0164,1,S
1-0165,1,S
1-0166,1,S
1-0168,1,S
1-0169,1,S
1-0170,1,S
1-0171,1,S
1-0172,1,S
1-0173,1,S
1-0174,1,S
1-0175,1,S
2-0022,1,S
2-0023,1,S
2-0024,1,S
2-0025,1,S
2-0026,1,R
2-0027,1,R
2-0028,1,R
2-0029,1,R
2-0030,1,R
2-0031,1,R
2-0032,1,R
2-0033,1,R
2-0034,1,R
2-0035,1,R
2-0037,1,R
2-0038,1,R
2-0039,1,R
2-0040,1,R
2-0041,1,R
2-0042,1,R
2-0043,1,R
2-0044,1,R
2-0045,1,R
2-0046,1,R
2-0047,1,R
2-0048,1,R
2-0049,1,R
2-0050,1,R
2-0051,1,R
2-0052,1,R
2-0053,1,R
2-0057,1,R
2-0058,1,R
2-0059,1,R
2-0061,1,R
2-0062,1,R
2-0063,1,R
2-0065,1,R
2-0066,1,R
2-0067,1,R
2-0068,1,R
2-0069,1,R
2-0071,1,R
2-0072,1,R
2-0073,1,R
2-0074,1,R
2-0075,1,R
2-0076,1,R
2-0077,1,R
2-0079,1,R
2-0080,1,R
2-0081,1,R
2-0082,1,R
2-0083,1,R
2-0084,1,R
2-0086,1,R
2-0089,1,R
2-0091,1,R
2-0092,1,R
2-0093,1,R
2-0096,1,R
2-0099,1,R
2-0100,1,R
2-0101,1,R
2-0102,1,R
2-0103,1,R
2-0104,1,R
2-0105,1,R
2-0106,1,R
2-0107,1,R
2-0108,1,R
2-0109,1,R
2-0111,1,R
2-0112,1,R
3-0081,1,R
3-0082,1,R
3-0083,1,R
3-0084,1,R
3-0085,1,R
3-0086,1,R
3-0087,1,R
3-0088,1,R
3-0089,1,R
3-0090,1,R
3-0091,1,R
3-0092,1,R
3-0093,1,R
3-0094,1,R
3-0095,1,R
3-0096,1,R
3-0097,1,R
3-0098,1,R
4-0074,1,R
4-0075,1,R
4-0077,1,R
4-0078,1,R
4-0079,1,R
4-0080,1,R
4-0081,1,R
4-0082,1,R
4-0083,1,R
4-0084,1,R
4-0085,1,R
4-0086,1,R
4-0087,1,R
4-0088,1,R
4-0089,1,R
4-0090,1,R
4-0091,1,R
4-0092,1,R
4-0093,1,R
4-0094,1,R
4-0095,1,R
4-0096,1,R
4-0097,1,R
4-0098,1,R
4-0099,1,R
4-0100,1,R
4-0101,1,R
4-0102,1,R
4-0103,1,R
4-0104,1,R
4-0105,1,R
4-0106,1,R
1-0091,2,R
1-0092,2,R
1-0093,2,R
1-0097,2,R
1-0101,2,R
1-0102,2,R
1-0103,2,R
1-0106,2,R
1-0107,2,R
1-0108,2,R
1-0109,2,R
1-0110,2,R
1-0111,2,R
1-0112,2,R
1-0113,2,R
1-0114,2,R
1-0115,2,R
1-0116,2,R
1-0123,2,R
1-0124,2,R
1-0125,2,R
1-0127,2,R
1-0132,2,R
1-0133,2,R
1-0135,2,R
1-0137,2,R
1-0138,2,R
1-0142,2,S
1-0143,2,S
1-0144,2,S
1-0146,2,S
1-0148,2,S
1-0149,2,S
1-0150,2,S
1-0153,2,S
1-0154,2,S
1-0156,2,S
1-0158,2,S
1-0160,2,S
1-0163,2,S
1-0164,2,S
1-0165,2,S
1-0166,2,S
1-0168,2,S
1-0169,2,S
1-0170,2,S
1-0171,2,S
1-0172,2,S
1-0173,2,S
1-0174,2,S
1-0175,2,S
2-0022,2,S
2-0023,2,S
2-0024,2,S
2-0025,2,S
2-0026,2,S
2-0027,2,S
2-0028,2,S
2-0029,2,S
2-0030,2,S
2-0031,2,S
2-0032,2,S
2-0033,2,S
2-0034,2,S
2-0035,2,S
2-0037,2,S
2-0038,2,S
2-0039,2,S
2-0040,2,R
2-0041,2,R
2-0042,2,R
2-0043,2,R
2-0044,2,R
2-0045,2,R
2-0046,2,R
2-0047,2,R
2-0048,2,R
2-0049,2,R
2-0050,2,R
2-0051,2,R
2-0052,2,R
2-0053,2,R
2-0057,2,R
2-0058,2,R
2-0059,2,R
2-0061,2,R
2-0062,2,R
2-0063,2,R
2-0065,2,R
2-0066,2,R
2-0067,2,R
2-0068,2,R
2-0069,2,R
2-0071,2,R
2-0072,2,R
2-0073,2,R
2-0074,2,R
2-0075,2,R
2-0076,2,R
2-0077,2,R
2-0079,2,R
2-0080,2,R
2-0081,2,R
2-0082,2,R
2-0083,2,S
2-0084,2,S
2-0086,2,S
2-0089,2,S
2-0091,2,S
2-0092,2,S
2-0093,2,S
2-0096,2,S
2-0099,2,S
2-0100,2,S
2-0101,2,S
2-0102,2,S
2-0103,2,S
2-0104,2,S
2-0105,2,S
2-0106,2,S
2-0107,2,S
2-0108,2,S
2-0109,2,R
2-0111,2,R
2-0112,2,R
3-0081,2,R
3-0082,2,R
3-0083,2,R
3-0084,2,R
3-0085,2,R
3-0086,2,R
3-0087,2,R
3-0088,2,R
3-0089,2,R
3-0090,2,R
3-0091,2,R
3-0092,2,R
3-0093,2,R
3-0094,2,R
3-0095,2,R
3-0096,2,R
3-0097,2,R
3-0098,2,R
4-0074,2,R
4-0075,2,R
4-0077,2,R
4-0078,2,R
4-0079,2,R
4-0080,2,R
4-0081,2,R
4-0082,2,R
4-0083,2,R
4-0084,2,R
4-0085,2,R
4-0086,2,R
4-0087,2,R
4-0088,2,R
4-0089,2,R
4-0090,2,R
4-0091,2,R
4-0092,2,R
4-0093,2,R
4-0094,2,R
4-0095,2,R
4-0096,2,R
4-0097,2,R
4-0098,2,R
4-0099,2,R
4-0100,2,R
4-0101,2,R
4-0102,2,R
4-0103,2,R
4-0104,2,R
4-0105,2,R
4-0106,2,R
1-0091,3,R
1-0092,3,R
1-0093,3,R
1-0097,3,R
1-0101,3,R
1-0102,3,R
1-0103,3,R
1-0106,3,S
1-0107,3,R
1-0108,3,S
1-0109,3,R
1-0110,3,S
1-0111,3,R
1-0112,3,S
1-0113,3,S
1-0114,3,S
1-0115,3,S
1-0116,3,S
1-0123,3,S
1-0124,3,S
1-0125,3,S
1-0127,3,S
1-0132,3,S
1-0133,3,S
1-0135,3,S
1-0137,3,S
1-0138,3,S
1-0142,3,S
1-0143,3,S
1-0144,3,S
1-0146,3,S
1-0148,3,S
1-0149,3,S
1-0150,3,S
1-0153,3,S
1-0154,3,S
1-0156,3,S
1-0158,3,S
1-0160,3,S
1-0163,3,S
1-0164,3,S
1-0165,3,S
1-0166,3,S
1-0168,3,S
1-0169,3,S
1-0170,3,S
1-0171,3,S
1-0172,3,S
1-0173,3,S
